imdbID	title	year	rating	genre	value	revenue	original_language	popularity	vote_average	budget
tt0075314 	Taxi Driver 	1976	R 	"Crime, Drama "	$28.26M 	28262574	en 	12.881486	8.1	1300000
tt0074285 	Carrie 	1976	R 	Horror 	$33.80M 	33800000	en 	7.856292	7	1800000
tt0075148 	Rocky 	1976	PG 	"Drama, Sport "	$117.24M 	117235147	en 	14.051718	7.5	1000000
tt0074812 	Logan's Run 	1976	PG 	"Action, Sci-Fi "	$25.00M 	25000000	en 	7.33802	6.6	9000000
tt0075005 	The Omen 	1976	R 	Horror 	$4.27M 	60922980	en 	11.569162	7.2	2800000
tt0075265 	A Star Is Born 	1976	R 	"Drama, Music, Romance "	$80.00M 	161000000	en 	1.774026	5.7	6000000
tt0075029 	The Outlaw Josey Wales 	1976	PG 	Western 	$31.80M 	31800000	en 	6.899448	7.4	3700000
tt0074751 	King Kong 	1976	PG 	"Adventure, Horror "	$52.61M 	90614445	en 	4.02484	5.9	23000000
tt0074119 	All the President's Men 	1976	PG 	"Biography, Drama, History "	$70.60M 	70600000	en 	10.402087	7.6	8500000
tt0074860 	Marathon Man 	1976	R 	"Crime, Thriller "	$21.71M 	21709020	en 	7.939681	7.2	6500000
tt0074174 	The Bad News Bears 	1976	PG 	"Comedy, Drama, Family "	$42.35M 	35323292	en 	7.565508	7	35000000
tt0074811 	The Tenant 	1976	R 	"Drama, Thriller "	$1.92M 	0	fr 	6.037367	7.7	0
tt0074256 	Bugsy Malone 	1976	G 	"Comedy, Crime, Family "	$2.78M 	0	en 	5.802444	6.6	0
tt0135024 	A Real Young Girl 	1976	Unrated 	Drama 	$0.00M 	0	fr 	15.039771	5.4	0
tt0076054 	Freaky Friday 	1976	G 	"Comedy, Family, Fantasy "	$25.94M 	0	en 	13.352312	6.3	0
tt0074851 	The Man Who Fell to Earth 	1976	R 	"Sci-Fi, Drama "	$0.10M 	0	en 	5.380175	6.4	1500000
tt0074483 	The Enforcer 	1976	R 	"Action, Crime, Thriller "	$46.20M 	46236000	en 	6.62298	6.7	9000000
tt0075066 	The Pink Panther Strikes Again 	1976	PG 	"Comedy, Crime "	$33.83M 	33833201	en 	5.190013	6.9	6000000
tt0074777 	The Last Tycoon 	1976	PG 	"Drama, Romance "	$1.82M 	0	en 	1.974979	6.2	0
tt0074906 	The Missouri Breaks 	1976	PG 	"Drama, Western "	$14.00M 	0	en 	1.940677	6.3	0
tt0075213 	The Shootist 	1976	PG 	"Drama, Romance, Western "	$5.99M 	8091910	en 	11.043096	7.3	0
tt0075222 	Silent Movie 	1976	PG 	Comedy 	$36.15M 	0	en 	9.715556	6.7	0
tt0075086 	The Pom Pom Girls 	1976	R 	"Comedy, Romance "	$17.88M 	17883410	en 	1.593426	5.2	0
tt0075249 	Sparkle 	1976	PG 	"Drama, Music "	$4.00M 	0	en 	0.562124	5.4	0
tt0074205 	The Big Bus 	1976	PG 	"Comedy, Action "	$3.54M 	0	en 	9.38709	6.1	0
tt0074923 	"Mother, Jugs & Speed "	1976	PG 	"Comedy, Drama "	$20.00M 	0	en 	3.891813	5.8	0
tt0074225 	The Blue Bird 	1976	G 	"Adventure, Drama, Family "	$0.89M 	887000	en 	1.515312	5.8	12000000
tt0074152 	Small Change 	1976	PG 	"Comedy, Drama "	$0.04M 	0	fr 	2.511346	7.7	0
tt0075629 	Across the Great Divide 	1976	G 	"Family, Western "	$18.81M 	0	en 	0.568917	5.1	0
tt0074870 	Die Marquise von O... 	1976	PG 	"Drama, History "	$0.00M 	0	de 	2.040434	6.1	0
tt0074539 	La flûte à six schtroumpfs 	1976	G 	"Animation, Comedy, Family "	$11.23M 	11234220	fr 	2.035151	6.3	0
tt0074409 	A Dirty Knight's Work 	1976	PG 	"Action, Adventure, Comedy "	$0.00M 	0	en 	0.08439	9	0
tt0076182 	In Search of Noah's Ark 	1976	G 	"Documentary, Family "	$55.73M 	0	en 	0	0	0
tt0076759 	Star Wars: Episode IV - A New Hope 	1977	PG 	"Action, Adventure, Fantasy "	$322.74M 	775398007	en 	25.26435	8.1	11000000
tt0074486 	Eraserhead 	1977	Not Rated 	Horror 	$7.00M 	7000000	en 	7.161807	7.5	10000
tt0075860 	Close Encounters of the Third Kind 	1977	PG 	"Drama, Sci-Fi "	$132.09M 	303788635	en 	10.299608	7.2	20000000
tt0075686 	Annie Hall 	1977	PG 	"Comedy, Romance "	$39.20M 	38251425	en 	14.888064	7.8	4000000
tt0076752 	The Spy Who Loved Me 	1977	PG 	"Action, Adventure, Thriller "	$46.80M 	185438673	en 	9.681865	6.6	14000000
tt0076729 	Smokey and the Bandit 	1977	PG 	"Action, Comedy "	$126.74M 	126737428	en 	5.74995	6.8	0
tt0076666 	Saturday Night Fever 	1977	R 	"Drama, Music "	$94.21M 	237113184	en 	9.543579	6.6	3500000
tt0075784 	A Bridge Too Far 	1977	PG 	"Drama, History, War "	$50.80M 	50750000	en 	7.979747	7	22000000
tt0076723 	Slap Shot 	1977	R 	"Comedy, Drama, Sport "	$28.00M 	28000000	en 	9.693056	7.1	0
tt0075925 	The Deep 	1977	PG 	"Adventure, Mystery, Thriller "	$6.84M 	0	en 	8.068869	5.7	0
tt0076538 	Pete's Dragon 	1977	G 	"Animation, Adventure, Comedy "	$40.10M 	0	en 	6.996531	6.4	10000000
tt0076009 	Exorcist II: The Heretic 	1977	R 	Horror 	$30.75M 	30749142	en 	8.337167	4.5	14000000
tt0076618 	The Rescuers 	1977	G 	"Animation, Adventure, Comedy "	$71.22M 	71215869	en 	7.811458	6.7	1200000
tt0076504 	Orca 	1977	PG 	"Adventure, Drama, Horror "	$14.72M 	14717854	en 	3.904656	5.5	6000000
tt0076451 	"New York, New York "	1977	PG 	"Drama, Music, Musical "	$13.80M 	0	en 	4.305281	6.1	0
tt0075824 	That Obscure Object of Desire 	1977	R 	"Comedy, Drama "	$0.06M 	0	fr 	6.81413	7.5	0
tt0076327 	Looking for Mr. Goodbar 	1977	R 	"Drama, Romance "	$16.90M 	22512655	en 	4.411182	6.8	0
tt0076141 	High Anxiety 	1977	PG 	Comedy 	$31.06M 	31063038	en 	5.960958	6.5	3400000
tt0076929 	Wizards 	1977	PG 	"Animation, Adventure, Fantasy "	$9.00M 	9000000	en 	3.248372	6.4	1200000
tt0075648 	Airport '77 	1977	PG 	"Action, Drama, Thriller "	$30.00M 	30000000	en 	5.025918	5.8	6000000
tt0076210 	The Island of Dr. Moreau 	1977	PG 	"Adventure, Fantasy, Horror "	$8.00M 	0	en 	5.72791	5.4	0
tt0076070 	The Gauntlet 	1977	R 	"Action, Crime, Thriller "	$35.40M 	26414658	en 	5.980501	6.7	5500000
tt0075765 	Black Sunday 	1977	R 	"Action, Drama, Thriller "	$15.77M 	0	en 	5.160899	6.8	0
tt0076095 	The Goodbye Girl 	1977	PG 	"Comedy, Drama, Romance "	$102.00M 	102000000	en 	1.896209	7.3	0
tt0076843 	The Turning Point 	1977	PG 	"Drama, Romance "	$33.60M 	0	en 	1.41529	6	0
tt0075909 	Damnation Alley 	1977	PG 	Sci-Fi 	$8.72M 	8720000	en 	1.864435	5	17000000
tt0076271 	Kingdom of the Spiders 	1977	PG 	"Horror, Sci-Fi "	$17.00M 	17000000	en 	2.922251	5.6	500000
